ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND7,PRD_NVA_ALIANZA,PAN_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
27,TABASCO,1,TENOSIQUE,89,157,5824,17047,,2366,323,4790,,1371,103,135,,19487,,4,51446,1476,52926,79718,0.6639
27,TABASCO,2,CARDENAS,49,123,1449,10517,,2495,4608,1066,,4061,451,624,,9845,,38,35116,1070,36224,73249,0.4945
27,TABASCO,3,CARDENAS,51,118,1014,12176,,2059,6662,751,,2183,254,326,,12876,,9,38301,1335,39645,68455,0.5791
27,TABASCO,4,HUIMANGUILLO,50,126,330,12557,19424,2882,3357,1120,650,1480,396,430,,,,7,42626,1561,44194,71106,0.6215
27,TABASCO,5,CENTLA,64,130,1653,10444,,10244,1061,2423,,3313,164,302,411,13112,,15,43127,1780,44922,68974,0.6513
27,TABASCO,6,CENTRO,65,155,1152,11730,,7993,928,1604,,6987,583,1273,,7600,,62,39850,1794,41706,89893,0.4640
27,TABASCO,7,CENTRO,30,123,999,8787,,6236,607,2106,,4187,269,695,,7822,,14,31708,1418,33140,80920,0.4095
27,TABASCO,8,CENTRO,54,146,1266,7947,,4927,1813,1128,,8761,545,1155,,7255,,46,34797,2225,37068,84582,0.4382
27,TABASCO,9,CENTRO,66,150,,11144,,,516,1156,,6717,580,1189,,9471,7180,48,37953,1827,39828,89232,0.4463
27,TABASCO,10,CENTRO,34,129,694,5876,,5987,2637,1668,,7590,1094,1142,,8757,,24,35445,1597,37066,81093,0.4571
27,TABASCO,11,CENTRO,55,141,1612,12309,,5546,570,1095,,4555,248,1125,,13803,,32,40863,2086,42981,84958,0.5059
27,TABASCO,12,COMALCALCO,50,132,499,13370,,1657,500,620,,16667,471,394,,14023,,14,48201,1255,49470,74486,0.6642
27,TABASCO,13,COMALCALCO,48,119,576,12668,,1922,457,816,,13795,225,178,,16747,,3,47384,1314,48701,67992,0.7163
27,TABASCO,14,CUNDUACAN,47,122,367,8172,14678,2514,995,910,6996,4959,453,130,,,,39,40174,1594,41807,72131,0.5796
27,TABASCO,15,EMILIANO ZAPATA,72,144,1766,11242,10002,12637,2444,1204,1692,7763,266,578,,,,19,49594,1666,51279,77003,0.6659
27,TABASCO,16,HUIMANGUILLO,69,146,288,21398,21440,5539,230,281,956,756,166,333,,,,7,51387,1322,52716,79225,0.6654
27,TABASCO,17,JALPA DE MENDEZ,44,111,1147,9907,,8045,2157,1203,,3827,332,359,,16445,,401,43422,1492,45315,68214,0.6643
27,TABASCO,18,MACUSPANA,52,132,599,8905,7231,11704,508,1760,1601,6003,605,499,,,,51,39415,1819,41285,79204,0.5212
27,TABASCO,19,NACAJUCA,37,132,12180,10121,5846,5188,4198,853,391,6234,273,603,,,,18,45887,2144,48049,83595,0.5748
27,TABASCO,20,PARAISO,49,119,8838,11768,,2302,294,2086,,2862,1071,731,,13713,,10,43665,1178,44853,69573,0.6447
27,TABASCO,21,TEAPA,53,127,702,13250,,13368,897,379,,1334,218,271,,11077,,12,41496,1610,43118,69946,0.6164
